"year","common_name","sci_name","count"
"1943","hawk sp.","Accipitridae sp.",NA
"1944","hawk sp.","Accipitridae sp.",NA
"1945","hawk sp.","Accipitridae sp.",NA
"1946","hawk sp.","Accipitridae sp.",NA
"1947","hawk sp.","Accipitridae sp.",NA
"1948","hawk sp.","Accipitridae sp.",NA
"1950","hawk sp.","Accipitridae sp.",NA
"1951","hawk sp.","Accipitridae sp.",NA
"1952","hawk sp.","Accipitridae sp.",NA
"1953","hawk sp.","Accipitridae sp.",NA
"1954","hawk sp.","Accipitridae sp.",NA
"1956","hawk sp.","Accipitridae sp.",NA
"1957","hawk sp.","Accipitridae sp.",NA
"1958","hawk sp.","Accipitridae sp.",NA
"1959","hawk sp.","Accipitridae sp.",NA
"1960","hawk sp.","Accipitridae sp.",NA
"1961","hawk sp.","Accipitridae sp.",NA
"1962","hawk sp.","Accipitridae sp.",NA
"1963","hawk sp.","Accipitridae sp.",NA
"1964","hawk sp.","Accipitridae sp.",NA
"1965","hawk sp.","Accipitridae sp.",NA
"1966","hawk sp.","Accipitridae sp.",NA
"1967","hawk sp.","Accipitridae sp.",NA
"1968","hawk sp.","Accipitridae sp.",NA
"1969","hawk sp.","Accipitridae sp.",NA
"1970","hawk sp.","Accipitridae sp.",NA
"1971","hawk sp.","Accipitridae sp.",NA
"1972","hawk sp.","Accipitridae sp.",NA
"1973","hawk sp.","Accipitridae sp.",NA
"1974","hawk sp.","Accipitridae sp.",NA
"1975","hawk sp.","Accipitridae sp.",1
"1976","hawk sp.","Accipitridae sp.",NA
"1977","hawk sp.","Accipitridae sp.",NA
"1978","hawk sp.","Accipitridae sp.",NA
"1979","hawk sp.","Accipitridae sp.",NA
"1980","hawk sp.","Accipitridae sp.",NA
"1981","hawk sp.","Accipitridae sp.",NA
"1982","hawk sp.","Accipitridae sp.",NA
"1983","hawk sp.","Accipitridae sp.",NA
"1984","hawk sp.","Accipitridae sp.",NA
"1985","hawk sp.","Accipitridae sp.",NA
"1986","hawk sp.","Accipitridae sp.",NA
"1987","hawk sp.","Accipitridae sp.",NA
"1988","hawk sp.","Accipitridae sp.",NA
"1989","hawk sp.","Accipitridae sp.",NA
"1990","hawk sp.","Accipitridae sp.",NA
"1991","hawk sp.","Accipitridae sp.",NA
"1992","hawk sp.","Accipitridae sp.",NA
