"common_name","year","count"
"Common Merganser",1995,0
"Common Merganser",1996,0
"Common Merganser",1997,0
"Common Merganser",1998,0
"Common Merganser",1999,0
"Common Merganser",2000,0
"Common Merganser",2001,0
"Common Merganser",2002,0
"Common Merganser",2003,1
"Common Merganser",2004,0
"Common Merganser",2005,0
"Common Merganser",2006,0
"Common Merganser",2007,0
"Common Merganser",2008,0
"Common Merganser",2009,0
"Common Merganser",2010,0
"Common Merganser",2011,0
"Common Merganser",2012,0
"Common Merganser",2013,0
"Common Merganser",2014,0
"Common Merganser",2015,0
"Common Merganser",2016,0
"Common Merganser",2017,0
"Common Merganser",2018,0
"Common Merganser",2019,0
"Common Merganser",2020,0
"Common Merganser",2021,0
"Common Merganser",2022,0
"Common Merganser",2023,0
"Common Merganser",2024,0
"Red-breasted Merganser",1952,0
"Red-breasted Merganser",1957,0
"Red-breasted Merganser",1958,0
"Red-breasted Merganser",1960,1
"Red-breasted Merganser",1961,0
"Red-breasted Merganser",1962,0
"Red-breasted Merganser",1963,0
"Red-breasted Merganser",1964,0
"Red-breasted Merganser",1965,0
"Red-breasted Merganser",1966,0
"Red-breasted Merganser",1967,0
"Red-breasted Merganser",1968,0
"Red-breasted Merganser",1969,0
"Red-breasted Merganser",1970,0
"Red-breasted Merganser",1971,0
"Red-breasted Merganser",1972,0
"Red-breasted Merganser",1973,0
"Red-breasted Merganser",1974,0
"Red-breasted Merganser",1975,0
"Red-breasted Merganser",1976,0
"Red-breasted Merganser",1977,0
"Red-breasted Merganser",1978,0
"Red-breasted Merganser",1979,0
"Red-breasted Merganser",1980,0
"Red-breasted Merganser",1981,0
"Red-breasted Merganser",1982,0
"Red-breasted Merganser",1983,0
"Red-breasted Merganser",1984,0
"Red-breasted Merganser",1985,0
"Red-breasted Merganser",1986,1
"Red-breasted Merganser",1987,0
"Red-breasted Merganser",1988,0
"Red-breasted Merganser",1989,0
"Red-breasted Merganser",1990,0
"Red-breasted Merganser",1991,0
"Red-breasted Merganser",1992,0
"Red-breasted Merganser",1993,0
"Red-breasted Merganser",1994,0
"Red-breasted Merganser",1995,0
"Red-breasted Merganser",1996,0
"Red-breasted Merganser",1997,0
"Red-breasted Merganser",1998,0
"Red-breasted Merganser",1999,0
"Red-breasted Merganser",2000,0
"Red-breasted Merganser",2001,0
"Red-breasted Merganser",2002,0
"Red-breasted Merganser",2003,0
"Red-breasted Merganser",2004,0
"Red-breasted Merganser",2005,0
"Red-breasted Merganser",2006,0
"Red-breasted Merganser",2007,0
"Red-breasted Merganser",2008,0
"Red-breasted Merganser",2009,0
"Red-breasted Merganser",2010,0
"Red-breasted Merganser",2011,0
"Red-breasted Merganser",2012,0
"Red-breasted Merganser",2013,0
"Red-breasted Merganser",2014,0
"Red-breasted Merganser",2015,0
"Red-breasted Merganser",2016,0
"Red-breasted Merganser",2017,0
"Red-breasted Merganser",2018,0
"Red-breasted Merganser",2019,0
"Red-breasted Merganser",2020,1
"Red-breasted Merganser",2021,0
"Red-breasted Merganser",2022,0
"Red-breasted Merganser",2023,0
"Red-breasted Merganser",2024,0
"Ruddy Duck",1952,0
"Ruddy Duck",1957,0
"Ruddy Duck",1958,1
"Ruddy Duck",1960,0
"Ruddy Duck",1961,0
"Ruddy Duck",1962,0
"Ruddy Duck",1963,0
"Ruddy Duck",1964,0
"Ruddy Duck",1965,0
"Ruddy Duck",1966,0
"Ruddy Duck",1967,0
"Ruddy Duck",1968,0
"Ruddy Duck",1969,0
"Ruddy Duck",1970,0
"Ruddy Duck",1971,0
"Ruddy Duck",1972,0
"Ruddy Duck",1973,0
"Ruddy Duck",1974,0
"Ruddy Duck",1975,0
"Ruddy Duck",1976,0
"Ruddy Duck",1977,0
"Ruddy Duck",1978,0
"Ruddy Duck",1979,0
"Ruddy Duck",1980,0
"Ruddy Duck",1981,0
"Ruddy Duck",1982,0
"Ruddy Duck",1983,0
"Ruddy Duck",1984,0
"Ruddy Duck",1985,0
"Ruddy Duck",1986,0
"Ruddy Duck",1987,0
"Ruddy Duck",1988,0
"Ruddy Duck",1989,0
"Ruddy Duck",1990,0
"Ruddy Duck",1991,0
"Ruddy Duck",1992,0
"Ruddy Duck",1993,0
"Ruddy Duck",1994,0
"Ruddy Duck",1995,0
"Ruddy Duck",1996,0
"Ruddy Duck",1997,0
"Ruddy Duck",1998,0
"Ruddy Duck",1999,0
"Ruddy Duck",2000,0
"Ruddy Duck",2001,0
"Ruddy Duck",2002,0
"Ruddy Duck",2003,0
"Ruddy Duck",2004,1
"Ruddy Duck",2005,1
"Ruddy Duck",2006,0
"Ruddy Duck",2007,0
"Ruddy Duck",2008,0
"Ruddy Duck",2009,0
"Ruddy Duck",2010,0
"Ruddy Duck",2011,0
"Ruddy Duck",2012,0
"Ruddy Duck",2013,0
"Ruddy Duck",2014,0
